BENZIN Бензин
PI425 Гудрон из Х-20 на Битумная
QIR001 Содерж нефтепродуктов в БОВ
QIR002 Содерж нефтепродуктов в БОВ
QIR003 Содерж нефтепродуктов в БОВ
QIR004 Содерж нефтепродуктов в БОВ
QIR005 Содерж нефтепродуктов в БОВ
TI017 Квенчинг К-5
TIA16-5 Температура в СО Н-16
TI103 Всасывание Н-101
TI104 ВДТ на верх К-5
TI105 ЛВГ до Н-22
TI106 ЛВГ после Т-4
TI107 ТВГ до Н-24,49
TI108 ТВГ после Т-13
TI109 ТВГ после Т-10А
TI110 Низ К-5
TI111 Всасывание Н-32
TI114 Гудрон с установки
TI127 Пар в К-5
TI151 1-ый ц/о К-2
TI152 2-ой ц/о К-2
TI153 3-ий ц/о К-2
TI204 Затем. продук. на приеме Н-35,36.
TI206 Затем. продукт на выходе Х-20
TI210G ЛДТ с установки
TI210K Керосин с установки
TI2141 Перегр.пар из П-1
TI215 Пар из пароперегрев-ля
TI222 Выход из П-1 (3 поток)
TI223 Выход из П-1 (4 поток)
TI224 Выход из П-1, 1 поток
TI225 Выход из П-1, 2 поток
TI44B Перевал П-1(л.ст.) юг
TI45B Перевал П-1(п.ст.) юг
TI47B Перевал П-2(л.ст.) юг
TI48B Перевал П-2(п.ст.) юг
TI49 Нефть из П-2 в К-1(ЛС)
TI51 Нефть из П-2 в К-5
TI52 Нефть из П-2 в К-5
TI53 Нефть из П-2 в К-5 1 поток
TI54 Нефть из П-2 в К-5 2 поток
TI63 Низ К-2
TIA01 Керосин из К-3
TIA02 ЛДТ из К-3
TIA03 ТДТ из К-3
TIA09 Выход из Х-2 в Е-2
TIA44 Перевал П-1(л.ст.) север
TIA45 Перевал П-1(п.ст.) север
TIA47 Перевал П-2(л.ст.) центр
TIA48 Перевал П-2(п.ст.) север
FC002 Мазут в П-2 2 поток
FC003 Мазут в П-2 1 поток
FC004 Отбенз. нефть П-1 3 поток
FC005 Отбенз. нефть П-1 4 поток
FC006 Нефть от Н-2, 5 поток в П-2
FC007 Нефть от Н-2, 6 поток в П-2
FC020 Отбенз. нефть П-1 2 поток
FC021 Отбенз. нефть П-1 1 поток
FC022 2-ой ц/о К-2
FC026 Острое орошение К-2
FC029 Пар в К-5
FC101 1-ое цирк. орошение К-5
FC102 1-ое горячее орошение К-5
FC104 ТДТ от Н-16 в Т-5
FC105 2-ое цирк. орошение К-5
FC197 Тяж.вак.газойль от Н-24 в К-5
FC201 Затемн. прод. от Н-34, 35
FC202 Затемн. прод. с установки
FC205 Легк. дизтопливо в парк
FC209 Керосин в парк
FC216 1-ый ц/о К-2
FC227 3-ий ц/о К-2
FC309 Пар на эжектора
LC086 Уровень в К-2
LC086_1 Уровень в К-2
LC100 Уровень в Е-2
LC101 Верх К-5
LC102 Середина К-5
LC103 Низ К-3 
LC104 Куб К-5
LC106 10 тарелка (ТВГ) в К-5
LC191 Уровень Е-2 (дренаж)
LC191-1 Уровень Е-2 (дренаж)
LC203 Уровень в К-5
LC206 Середина К-3 
LC208 Верх К-3 
PC144 Верх К-2
PC305 Пар в П-1 л.ст.
PC306 Пар в П-1 пр.ст.
PC307 Пар в П-2 л.ст.
PC308 Пар в П-2 пр.ст.
TC046 Верх К-2
TC055 24 тарелка К-2
TC056 14 тарелка К-2
TC099 34 тарелка К-2
TC101 Верх К-5
TC102 Верх К-5
TC211 Выход из П-1 л.ст.
TC211-1 Выход из П-1 л.ст.
TC212 Выход из П-1 пр.ст.
TC212-1 Выход из П-1 пр.ст.
TC213 Выход из П-2 л.ст.
TC213-1 Выход из П-2 л.ст.
TC218 Выход из П-2 пр.ст.
TC218-1 Выход из П-2 пр.ст.
FI072 Воздух КИП на установку
FI085 Топл. газ на печи
FI207 Орошение в К-4
FI222 Сода от Н-36
FI285 Жид.топливо на П-1,2
FI313 Вода на вак.блок
FI402 Оборот. вода на установку
FI41 Пар на установку
FQ285 Удельное потребление топлива
FQ41 Удельное потребление пара
FQIR285-1 Жидкое топливо на установку
FQIR285-2 Жидкое топливо на установку
FQIR408 ЛВГ с установки
FQIR411-1 Бензин с установки
FQIR411-2 Бензин с установки
LI005 Уровень в Е-8а
LI044 Местная ловушка
LI045 Уровень в Е-16
LI107A Уровень в Т-19
LI108A Уровень в Т-20
LI111 Уровень в Т-20а
LI111A Уровень в Т-20а
LI188 Уровень в Е-15
PI075 Верх К-4
PI309 Газ наКПГ
PI311 Рефлюкс с установки
PI314 Газ в ощезавод. линию
QSA47 Загазовано насос Н-32
QSA48 Загазовано насос Н-32а
T_V_APPARATNOY Температура в аппаратной
TI425 Гудрон из Х-20 на Битумную
TI085 Газ на печи
TI10 ТДТ в парк
TI11 Бензин в К-4 из Т-19
TI12 Рефлюкс после Х-4
TI129 Нефть после Т-18Б (1 пот)
TI134 Возврат ж/топлива
TI16 Газ на КПГ
TI210V Бензин с установки
TI214 Пар на установку
TI285 Возврат ж.т.
TI57 Низ Т-20
TI58 Низ Т-20а
TIA04 Обор.вода на установку
TIA05 Бензин из Т-15
TIA07 Рефлюкс с установки
FC084 Газ с установки
FC107 Поток из К-7 в К-4
FC113 Стаб. бензин с установки
FC117 Рефлюкс в парк ГФУ
FC199 Острое орошение К-7
FC207 Орошение в К-4
LC107 Уровень в К-7
LC108 Уровень в Т-20
LC119 Уровень в Е-3
LC184 Уровень в А-6
PC024 ЛДТ перед Е-11
PC030 Давление в А-4
PC076 Давление в Е-3
PC077 Давление в К-7
PC285 Жид.топл. на П-1,П-2
PC310 Газ на печи
TC050 Поток из Т-20
TC061 Поток из Т-20а
TC068 Верх К-4
BALTYPE Режим расчета материального баланса
BAVR БАВР
UA1 Отстуств. напр. на ЩСУ-1
UA10 Отстуств. напр. на ЩСУ-10
UA101 К.З. в тиристорах цепи байпаса
UA102 Работа UPS от инвертора
UA103 Пропадание питания на входе UPS
UA104 Блок питания 24В шкаф №1
UA105 Блок питания 12В шкаф №1
UA106 Блок питания DeltaV шкаф №1
UA107 Блок питания 24В шкаф №2
UA108 Блок питания 12В шкаф №2
UA109 Блок питания DeltaV шкаф №2
UA11 Отстуств. напр. на ЩСУ-11
UA110 Блок питания 24В шкаф №3
UA111 Блок питания 12В шкаф №3
UA112 Блок питания DeltaV шкаф №3
UA113 Блок питания 24В шкаф №5
UA114 Блок питания 24В шкаф №6
UA115 Блок питания 24В шкаф №7
UA12 Отстуств. напр. на ЩСУ-12
UA13 24В на фазу шк.5,6,7
UA2 Отстуств. напр. на ЩСУ-2
UA3 Отстуств. напр. на ЩСУ-3
UA4 Отстуств. напр. на ЩСУ-3
UA5 Отстуств. напр. на ЩСУ-5
UA6 Отстуств. напр. на ЩСУ-6
UA7 Отстуств. напр. на ЩСУ-7
UA8 Отстуств. напр. на ЩСУ-8
UA9 Отстуств. напр. на ЩСУ-9
LIA019 Щелочь в Е-18,18А
LIA112 Сода в А-14,А-15
LIA184 Уровень в A-6
LIA188A Уровень в Е-15
LISA086A Колонна К2
LISA100A Уровень в Е-2
LISA105 Куб К-5
LISA107A Уровень в К-7
LISA109A Колонна К-1
LISA110A Уровень в Е-1
LISA119A Уровень в Е-3
PIA008 Мазут после Н-4,4а 2 поток
PIA013 Давление в Э-3,4
PIA015 Мазут после Н-4,4а 1 поток
PIA040 Пар на установку
PIA072 Воздух КИП
PIA137 Оборот.вода на установку
PIA220 Давление в E-4
PIA221 Давление в E-2
PIA285 Жидкое топливо на печи
PISA1-1 Давл. ТО1 торц.уплот. насоса Н-1
PISA1-2 Давл. ТО1 торц.уплот. насоса Н-1
PISA16-1 Давление в СО насоса  Н-16
QIRAL424_1 Содержание кислорода в дымовых газах П-1
QIRAL424_2 Содержание кислорода в дымовых газах П-1
QIRAL425_1 Содержание кислорода в дымовых газах П-2
QIRAL425_2 Содержание кислорода в дымовых газах П-2
TIA1-1 Перед.подш.эл.дв. Н-1
TIA1-2 Задн.подш.эл.дв. Н-1
TIA1-3 ТО1 торц.уплот. насоса Н-1
TIA1-4 ТО2 торц.уплот. насоса Н-1
TIA101-1 Перед.подш.эл.дв. Н-101
TIA101-2 Задн.подш.эл.дв. Н-101
TIA101A-1 Перед.подш.эл.дв. Н-101a
TIA101A-2 Задн.подш.эл.дв. Н-101a
TIA1A-1 Перед.подш.эл.дв. Н-1a
TIA1A-2 Задн.подш.эл.дв. Н-1a
TIA1B-1 Перед.подш.эл.дв. Н-1Б
TIA1B-2 Задн.подш.эл.дв. Н-1Б
TIA1V-1 Перед. подшипник Н-1в
TIA1V-2 Задн. подшипник Н-1в
TIA2-1 Перед. подш.эл.дв. Н-2
TIA2-2 Задн.подш.эл.дв. Н-2
TIA2A-1 Перед.подш.эл.дв.Н-2a
TIA2A-2 Задн.подш.эл.дв. Н-2a
TIA32-1 Перед.подш.эл.дв. Н-32
TIA32-2 Задн.подш.эл.дв. Н-32
TIA32A-1 Перед.подш.эл.дв. Н-32a
TIA32A-2 Задн.подш.эл.дв. Н-32a
TIA4-1 Перед.подш.эл.дв. Н-4
TIA4-2 Задн.подш.эл.дв. Н-4
TIA44A Перевал П-1(л.ст.) север
TIA45A Перевал П-1(п.ст.) центр
TIA47A Перевал П-2(л.ст.) север
TIA48A Перевал П-2(п.ст.) центр
TIA4A-1 Перед.подш.эл.дв. Н-4a
TIA4A-2 Задн.подш.эл.дв.Н-4a
TIA60-1 Перед.подш.эл.дв. Н-60
TIA60-2 Задн.подш.эл.дв. Н-60
TIA60A-1 Перед.подш.эл.дв. Н-60a
TIA60A-2 Задн.подш.эл.дв. Н-60a
TIA60B-1 Перед.подш.эл.дв. Н-60b
TIA60B-2 Задн.подш.эл.дв. Н-60b
TISA1-1 1-й подшипник насоса Н-1
TISA1-2 2-й подшипник насоса Н-1
TISA1-3 Перед. подшипник Н-1
TISA1-4 Задн. подшипник Н-1
TISA10-3 Подшипник Н-10
TISA101-3 Подшипник Н-101
TISA101A-3 Подшипник Н-101a
TISA10A-3 Подшипник Н-10А
TISA11-3 Перед. подшипник Н-11
TISA11-4 Задн. подшипник Н-11
TISA12-3 Подшипник Н-12
TISA13-3 Подшипник Н-13
TISA14-3 Подшипник Н-14
TISA15-3 Подшипник Н-15
TISA16-1 Перед. подшипник насоса  Н-16
TISA16-2 Задний. подшипник насоса  Н-16
TISA16-3 Перед. подшипник эл двигателя Н-16
TISA16-4 Задн. подшипник эл двигателя Н-16
TISA17-3 Перед. подшипник Н-17
TISA17-4 Задн. подшипник Н-17
TISA17A-3 Подшипник Н-17a
TISA1B-3 Подшипник Н-1б
TISA1V-3 Подшипник Н-1в
TISA2-3 Подшипник Н-2
TISA22-3 Подшипник Н-22
TISA24-3 Подшипник Н-24
TISA25-3 Подшипник Н-25
TISA28-3 Подшипник Н-28
TISA28A-3 Подшипник Н-28a
TISA2A-3 Подшипник Н-2a
TISA3-3 Подшипник Н-3
TISA32-3 Подшипник Н-32
TISA32A-3 Подшипник Н-32a
TISA35-3 Подшипник Н-35
TISA3A-3 Подшипник Н-3a
TISA4-3 Подшипник Н-4
TISA45-3 Подшипник Н-45
TISA49-3 Подшипник Н-49
TISA4A-3 Подшипник Н-4a
TISA6-3 Подшипник Н-6
TISA60-3 Перед. подшипник Н-60
TISA60-4 Задн. подшипник Н-60
TISA60A-3 Перед. подшипник Н-60a
TISA60A-4 Задн. подшипник Н-60a
TISA60B-3 Перед. подшипник Н-60б
TISA60B-4 Задн. подшипник Н-60б
TISA6A-3 Подшипник Н-6a
TISA7-3 Подшипник Н-7
TISA8-3 Подшипник Н-8
TISA9-3 Перед. подшипник Н-9
TISA9-4 Задн. подшипник Н-9
TISA9A-3 Подшипник Н-9a
LIA187A Уровень в Е-1
LIA189A Уровень в Э-1
LIA190A Уровень в Э-2
LIA191A Уровень в Е-2
LIA219A Уровень в Э-3
LIA220A Уровень в Э-4
LISA16-1 Уровень в СО насоса Н-16
LS_1_1 Уровень залива нас. Н-1
LS_1_2 Уровень уплот. жид. в ТО1 нас. Н-1
LS_1_3 Уровень уплот. жид. в ТО2 нас. Н-1
PA301 Подпор в операторной
PA302 Подпор в ТП-37А
PA303 Подпор в ТП-37Б
PA304 Подпор в РП-2
PA305 Подпор в РП-1
PA306 Подпор в РП-3
PA307 Подпор в РУ-4
H-1 Насос Н-1
H-10 Насос Н-10
H-101 Насос Н-101
H-101A Насос Н-101a
H-10A Насос Н-10a
H-11 Насос Н-11
H-12 Насос Н-12
H-13 Насос Н-13
H-14 Насос Н-14
H-15 Насос Н-15
H-16 Насос Н-16
H-17 Насос Н-17
H-17A Насос Н-17a
H-1B Насос Н-1Б
H-1V Насос Н-1В
H-2 Насос Н-2
H-22 Насос Н-22
H-23 Насос Н-23
H-23A Насос Н-23a
H-24 Насос Н-24
H-25 Насос Н-25
H-28 Насос Н-28
H-28A Насос Н-28a
H-2A Насос Н-2A
H-3 Насос Н-3
H-30 Насос Н-30
H-30A Насос Н-30A
H-31 Насос Н-31
H-31A Насос Н-31A
H-32 Насос Н-32
H-32A Насос Н-32A
H-34 Насос Н-34
H-34A Насос Н-34a
H-35 Насос Н-35
H-36 Насос Н-36
H-36A Насос Н-36A
H-36B Насос Н-36Б
H-3A Насос Н-3a
H-4 Насос Н-4
H-44 Насос Н-44
H-44A Насос Н-44а
H-44B Насос Н-44б
H-45 Насос Н-45
H-49 Насос Н-49
H-4A Насос Н-4a
H-51 Насос Н-51
H-51A Насос Н-51A
H-6 Насос Н-6
H-60 Насос Н-60
H-60A Насос Н-60a
H-60B Насос Н-60B
H-6A Насос Н-6a
H-7 Насос Н-7
H-8 Насос Н-8
H-9 Насос Н-9
H-9A Насос Н-9a
AV-35 Вентилятор АВ-35
AV-44 Вентилятор АВ-44
AV-45 Вентилятор АВ-45
AV-6 Вентилятор АВ-6
AV-7 Вентилятор АВ-7
AV-8 Вентилятор АВ-8
AVG-1 АВГ-1
AVG-2 АВГ-2
AVG-2A АВГ-2a
AVG-3 АВГ-3
AVG-4 АВГ-4
AVG-6 АВГ-6
AVG-7 АВГ-7
AVG-8 АВГ-8
AVG-9 АВГ-9
AVU-1 Включение АВУ-1
AVU-2 Включение АВУ-2
AVZ-1 АВЗ-1
AVZ-2 АВЗ-2
AVZ-6 АВЗ-6
P-1 Вентилятор П-1
P-10 Вентилятор П-10
P-11 Вентилятор П-11
P-12 Вентилятор П-12
P-12R Вентилятор П-11р
P-13 Вентилятор П-13
P-13R Вентилятор П-13Р
P-1R Вентилятор П-1р
P-23 Вентилятор П-23
P-23R Вентилятор ПУ-23Р
P-24 Вентилятор П-24
P-25 Вентилятор П-25
P-26 Вентилятор П-26
P-26R Вентилятор П-26р
P-30 Вентилятор П-30
P-30R Вентилятор П-30р
P-31 Вентилятор П-31
P-31R Вентилятор П-31
P-32 Вентилятор П-32
P-34 Вентилятор П-34
P-36 Вентилятор П-36
P-38 Вентилятор П-38
P-38R Вентилятор П-38р
P-46 Вентилятор П-46
P-46R Вентилятор П-46p
P-9 Вентилятор П-9
P-9R Вентилятор П-9р
V-1 Вентилятор B-1
V-14 Вентилятор B-14
V-15 Вентилятор B-15
V-16 Вентилятор B-16
V-17 Вентилятор B-17
V-18 Вентилятор B-18
V-2 Вентилятор B-2
V-27 Вентилятор B-27
V-28 Вентилятор B-28
V-29 Вентилятор B-29
V-2A Вентилятор B-2a
V-3 Вентилятор B-3
V-4 Вентилятор B-4
QSA01 Загазованность Н-4
QSA02 Загазованность Н-2
QSA03 Загазованность Н-3
QSA04 Загазованность Н-101
QSA05 Загазованность Н-12
QSA06 Загазованность Н-13
QSA07 Загазованность Н-15
QSA08 Загазованность Н-16
QSA09 Загазованность Н-17
QSA10 Загазованность Н-25
QSA11 Загазованность Н-24
QSA12 Загазованность Н-43
QSA13 Загазованность Н-6
QSA14 Загазованность Н-6а
QSA15 Загазованность Н-8
QSA16 Загазованность Н-9
QSA17 Загазованность Н-1
QSA18 Загазованность Н-1б
QSA19 Загазованность Н-14
QSA20 Загазованность Н-36
QSA21 Загазованность Н-36б
QSA22 Загазованность Н-28
QSA23 Загазованность Н-33
QSA24 Загазованность Н-30
QSA25 Загазованность Н-31
QSA26 Загазованность A-1
QSA27 Загазованность A-5
QSA28 Загаз. сев. сторона 
QSA29 Загаз. южн. сторона
QSA30 Загазованность Т-15
QSA31 Загазованность Т-1
QSA32 Загазованность Т-10
QSA33 Загазованность Т-5
QSA34 Загазованность Х-20
QSA35 Загазованность Т-18
QSA36 Загазованность Н-60
QSA37 Загазованность Е-15
QSA38 Загазованность Х-18
QSA39 Загазованность Э-2
QSA40 Загазованность Е-4
QSA41 Загазованность К-5
QSA42 Загаз. операторная
QSA43 Загазованность печи
QSA44 Загазованность Т-30
QSA45 Загазованность К-2
QSA46 Загазованность Х-19
SB01 Холодная насосная
SB02 Горячая насосная
SB03 Район очистного
SB04 Счетно-анализаторная
SB05 Горячая насосная
SB06 Холодная насосная
SB07 Насосная ЭЛОУ Н-60
SB08 Район очистного
SB09 Cчетно-анализаторная
SB10 Насосная ЭЛОУ Н-60
XS01 Отказ СТМ10 №1
XS02 Отказ СТМ10 №2
XS03 Отказ СТМ10 №3
XS04 Отказ СТМ10 №4
XS05 Отказ СТМ10 №5
XS06 Отказ СТМ10 №6
XS07 Отказ СТМ10 №7
XS08 Отказ СТМ10 №8
XS09 Отказ СТМ10 №9
XS10 Отказ СТМ10 №10
XS11 Отказ СТМ10 №11
XS12 Отказ СТМ10 №12
FIQ408 Легкий вак.газойль
FIQ412 Тяжелый вак.газойль
FIQ413-1 Сырая нефть от Н-1 1п.
FIQ413-2 Сырая нефть от Н-1 1п.
FIQ414-1 Сырая нефть от Н-1 2п.
FIQ414-2 Сырая нефть от Н-1 2п.
FIQ415-1 Обессолененая нефть после Н-60
FIQ415-2 Обессолененая нефть после Н-60
H-3_1 Насос Н-3 (27.04.2015)
H-3A_1 Насос Н-3a (27.04.2015)
LVG_T Турбинка - ЛВГ
MAZUT_T Турбинка - МАЗУТ(гудрон)
NEFT_T Турбинка - Нефть, нефть обессоленая, вода и соли
TVG_T Турбинка - ТВГ
FC114 Поток из баром. ловушки
FI307 Аммиач.вода от Н-43Б в К-2
FI309 Пар на эжектора
LC118 Баром. ловушка
LC1191 Уровень в Е-3
PC023 Аммиак в Е-8а
PC312 Пар на эжекторы
TI0635 Темп-ра после Т-11
TI101 Верх К-5
TI102 34 тарелка К-5
TI112 Гудрон от Т-16 в К-5
TI113 Гудрон после Т-7
TI115 Нефть в К-1
TI135 Вода после Т-103
TI136 Вода после Т-8
TI13A Пар из КУ-1
TI13B Перегр.пара из КУ-1
TI13D Перегр.пар из КУ-2
TI13E Пар из КУ-2
TI13G Хим.оч. вода после ОВ-1
TI13V Питательная вода в КУ-1
TI13ZH Питательная вода в КУ-2
TI14-3 Подшипник Н-14
TI150 Острое орошение К-2
TI2101 Дым.газы до КУ-1
TI2102 Д/газ после КУ-1
TI2103 Д/газ до КУ-2
TI2104 Д/газ после КУ-2
TI220 Дым.газы на вых. П-1
TI221 Дым.газы на вых. П-2
TI222-1 Выход из П-1 (3 поток)
TI223-1 Выход из П-1, 4 поток
TI224-1 Выход из П-1, 1 поток
TI225-1 Выход из П-1, 2 поток
TI44 Перевал П-1(л.ст.) центр
TI49-1 Нефть из П-2 в К-1(ЛС)
TI5-3 Подшипник Н-5
TI53-1 Нефть из П-2 в К-1(ПС)
TI5A-3 Подшипник Н-5a
TI6 Хим.оч. вода из Т-1
TIA156 Сброс газа на факел
TIA157 Сброс газа на факел
TIA211 Выход из П-1 (ЛС)
TIA212 Выход из П-1 (ПС)
TIA213 Выход из П-2 Л.С.
TIA218 Выход из П-2 П.С.
AI_MOD_1 Аналоговые регистры 1 контроллер
AI_MOD_2 Аналоговые регистры 2 контроллер
AI_MOD_3 Аналоговые регистры 3 контр.
IN_MOD_1 Дискретные входные регистры 1 контр.
IN_MOD_2 Дискретные входные регистры 2 контр.
IN_MOD_3 Дискретные входные регистры 3 контр.
OUT_MOD_1 Дискретные выходные регистры 1 контр.
OUT_MOD_2 Дискретные выходные регистры 2 контр.
OUT_MOD_3 Дискретные выходные регистры 3 контр.
